,name,ID,ALIGN,EYE,HAIR,SEX,ALIVE
2242,Veronica Benning (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
2243,Boone (Earth-616),Secret Identity,,,Brown Hair,Male Characters,Living Characters
2244,Chakra (Earth-616),Secret Identity,,Black Eyes,Black Hair,Female Characters,Living Characters
2245,Emrys Killebrew (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters
2246,Gregor (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,Living Characters
2247,Llyron McKenzie (Earth-616),Public Identity,,Blue Eyes,Black Hair,Male Characters,Living Characters
2248,Piezo-electrical Logistic Analytical Tactical Operator (Earth-616),Secret Identity,Good Characters,,,Male Characters,Living Characters
2249,Xenith (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Female Characters,Living Characters
2250,Alison Mongrain (Earth-616),,,Blue Eyes,Red Hair,Female Characters,Living Characters
2251,Delilah Dearborn (Earth-616),Public Identity,,Blue Eyes,Brown Hair,Female Characters,Living Characters
2252,Hope Hibbert (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2253,Lady Vermin (Earth-616),,Good Characters,,Brown Hair,Female Characters,Living Characters
2254,Green Goblin (Construct) (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters
2255,Fiz (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Living Characters
2256,James Howlett (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Deceased Characters
2257,Vargas (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters
2258,Woodstock Schumaker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2259,Azazel (Earth-616),Secret Identity,Bad Characters,Red Eyes,Grey Hair,Male Characters,Living Characters
2260,Patricia Robertson (Earth-616),Secret Identity,,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters
2261,Absolon Mercator (Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Deceased Characters
2262,Anti-Cap (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters
2263,Arthur Zix (Earth-616),Secret Identity,,,Grey Hair,Male Characters,Deceased Characters
2264,Ditto (Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,Living Characters
2265,Maxwell Jordan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2266,Wicked (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
2267,Itsu (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters
2268,Jacob Oh (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
2269,Jake Slayton (Earth-616),,Good Characters,,,Male Characters,Living Characters
2270,Matthew Risman (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,Deceased Characters
2271,Walter Declun (Earth-616),,Bad Characters,,Brown Hair,Male Characters,Living Characters
2272,Kate Kildare (Earth-616),No Dual Identity,Good Characters,Grey Eyes,Blond Hair,Female Characters,Deceased Characters
2273,Milo Fields (Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,Living Characters
2274,William Cobb III (Earth-616),Public Identity,Good Characters,Green Eyes,,Male Characters,Deceased Characters
2275,Ol-Sahm (Earth-616),Public Identity,Good Characters,Brown Eyes,No Hair,Male Characters,Deceased Characters
2276,Qubit (Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,,Living Characters
2277,Anton Vanko (Whiplash) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
2278,Br\u00fcn (Earth-616),Secret Identity,Bad Characters,White Eyes,White Hair,Female Characters,Living Characters
2279,Doug Johnson III (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
2280,Ms. Lion (Earth-616),Public Identity,Good Characters,Black Eyes,White Hair,Male Characters,Living Characters
2281,Corvus Glaive (Earth-616),No Dual Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Living Characters
2282,Tyrannix the Abominoid (Legion Personality) (Earth-616),Secret Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters
2283,Jim Gardley (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
2284,Victor Jay (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2285,Preston Hardwick (Earth-616),Secret Identity,Good Characters,,Red Hair,Male Characters,Living Characters
2286,Terror (Horse) (Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,Living Characters
2287,Kent Blake (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,Deceased Characters
2288,White Swan (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,Living Characters
2289,Zane Temple (Earth-616),No Dual Identity,Good Characters,,Grey Hair,Male Characters,Living Characters
2290,Karl von Horstbadden (Earth-616),,Bad Characters,,Grey Hair,Male Characters,Deceased Characters
2291,Howard Mitchell (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters
2292,Joe (NYPD) (Earth-616),,,,,Male Characters,Living Characters
2293,Boris (Latverian) (Earth-616),No Dual Identity,Neutral Characters,,Grey Hair,Male Characters,Living Characters
2294,Falcona (Earth-616),Public Identity,,Green Eyes,Black Hair,Female Characters,Living Characters
2295,Haag (Asgardian) (Earth-616),,Bad Characters,,,Female Characters,Living Characters
2296,Naga (Earth-616),Public Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters
2297,Tanya Anderssen (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
2298,Joshua Link (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters
2299,Jason Grey (Earth-616),,,,,Male Characters,Living Characters
2300,Jason Kimball (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2301,Lou-Ann Savannah (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,Living Characters
2302,Thog (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Bald,Male Characters,Living Characters
2303,Thomas J. Roberts (Earth-616),No Dual Identity,Good Characters,,Blond Hair,Male Characters,Living Characters
2304,Drake Shannon (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters
2305,Silas King (Earth-616),Secret Identity,,Blue Eyes,,Male Characters,Living Characters
2306,Thomas Stuart (Earth-616),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters
2307,Desmond Pitt (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters
2308,Lawrence Chesney (Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters
2309,Manphibian (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Bald,Male Characters,Living Characters
2310,Abraham Klein (Earth-616),No Dual Identity,,Brown Eyes,White Hair,Male Characters,Deceased Characters
2311,Harrison Thompson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
2312,Charles Delazny Jr. (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2313,Impulse (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,Deceased Characters
2314,Robert Bruce Banner (Eternals Robot) (Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters
2315,Tefral (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,Living Characters
2316,Carina Walters (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2317,Don Thomas (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters
2318,Josie (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Female Characters,Living Characters
2319,Phillip Prometheus (Earth-616),,Bad Characters,,White Hair,Male Characters,Living Characters
2320,Yi Yang (Earth-616),,Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters
2321,Arthur Dearborn (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
2322,Marx (Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,Living Characters
2323,Craig Sinclair (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2324,Demon Bear (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,Living Characters
2325,Tick Tock (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Deceased Characters
2326,Dragon of the Moon (Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,,Living Characters
2327,Knave (Crazy Gang) (Earth-616),,Bad Characters,,,Male Characters,Living Characters
2328,Magus (Technarch) (Earth-616),,Bad Characters,,,Male Characters,Living Characters
2329,AC-DC (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Bald,Male Characters,Living Characters
2330,Beautiful Dreamer (Morlock) (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Female Characters,Deceased Characters
2331,Interloper (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
2332,Oblivion (Earth-616),Secret Identity,Bad Characters,,,Male Characters,Living Characters
2333,Randi (Earth-616),Public Identity,Good Characters,,,Female Characters,Living Characters
2334,Bird-Brain (Earth-616),No Dual Identity,Good Characters,Red Eyes,No Hair,Male Characters,Living Characters
2335,Llan (Earth-616),Public Identity,,Red Eyes,Black Hair,Male Characters,Living Characters
2336,Tang Jhimon (Earth-616),Secret Identity,,,Black Hair,Female Characters,Deceased Characters
2337,Heidi Franklin (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
2338,Nathan Lemon (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2339,Daryl Andrews (Earth-616),,,,Black Hair,Male Characters,Living Characters
2340,Divad (Earth-616),Secret Identity,Neutral Characters,,Red Hair,Male Characters,Living Characters
2341,Laura Dunham (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2342,Francisco Milan (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2343,Mortigan Goth (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
2344,Seer (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,Living Characters
2345,Torbert Octavius (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2346,Blackwulf (Lucian) (Earth-616),Secret Identity,Neutral Characters,Red Eyes,White Hair,Male Characters,Living Characters
2347,Hurricane (Dark Riders) (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,Deceased Characters
2348,Loga (Godpack) (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Red Hair,Male Characters,Living Characters
2349,Mattie Baptiste (Earth-616),,,Brown Eyes,Black Hair,Female Characters,Deceased Characters
2350,Newton Destine (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,Living Characters
2351,Cordelia Frost (Earth-616),Public Identity,Neutral Characters,,Black Hair,Female Characters,Living Characters
2352,Elaine Coll (Earth-616),,Bad Characters,Green Eyes,Red Hair,Female Characters,Living Characters
2353,Heidi Sladkin (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Female Characters,Living Characters
2354,Hemingway (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,Deceased Characters
2355,Sack (Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,Deceased Characters
2356,Simon Trask (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
2357,Gloria Mu\u00f1oz (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters
2358,Deuce (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
2359,Shantal Wilsk (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,Living Characters
2360,Strider (Earth-616),,Good Characters,Black Eyes,White Hair,Male Characters,Living Characters
2361,Ursula (Earth-616),Secret Identity,Good Characters,,Brown Hair,Female Characters,Deceased Characters
2362,Aiko Miyazaki (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2363,Jonathan Tremont (Earth-616),,,Blue Eyes,Grey Hair,Male Characters,Living Characters
2364,Angela Lipscombe (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2365,Molly von Richthofen (Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,Living Characters
2366,Nina Smith (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2367,Sarah Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2368,Tatiana Caban (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2369,Ted Mankowski (Earth-616),No Dual Identity,,,,Male Characters,Living Characters
2370,Ethan Edwards (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
2371,Captain (Nextwave) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
2372,Consultant (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Living Characters
2373,Miriam Sharpe (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Female Characters,Living Characters
2374,Rob (Earth-616),,Neutral Characters,,Brown Hair,Male Characters,Living Characters
2375,Bev Sykes (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2376,Jack Kooning (Earth-616),Public Identity,,Black Eyes,Brown Hair,Male Characters,Deceased Characters
2377,Magdalena Marie (Earth-616),Public Identity,,Brown Eyes,Black Hair,Female Characters,Living Characters
2378,Michael van Patrick (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
2379,Orson Randall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Deceased Characters
2380,Pagon (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters
2381,Ra-Venn (Earth-616),Public Identity,,Blue Eyes,Red Hair,Female Characters,Deceased Characters
2382,Caretaker (Sara) (Earth-616),,,Blue Eyes,Red Hair,Female Characters,Living Characters
2383,Sadie Sinclair (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
2384,Vengeance (Kowalski) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2385,Betty Swanson (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2386,Christopher Colchiss (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
2387,Lisa Molinari (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2388,Shir Ydrn Talonis (Earth-616),Secret Identity,Bad Characters,,,Male Characters,Living Characters
2389,Sylvie Lushton (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters
2390,Lady Stilt-Man (Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,Living Characters
2391,Onomi Whitemane (Earth-616),Secret Identity,Neutral Characters,Red Eyes,White Hair,Female Characters,Living Characters
2392,Wilhelmina Kensington (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2393,Annabelle Adams (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
2394,Donald Meland (Earth-616),No Dual Identity,Good Characters,Hazel Eyes,Reddish Blond Hair,Male Characters,Living Characters
2395,Katherine Kiernan (Earth-616),Public Identity,Good Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters
2396,Eva Alexander (Earth-616),,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
2397,Randall Jessup (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters
2398,John Renwick (Earth-616),No Dual Identity,Good Characters,,,Male Characters,Living Characters
2399,Proxima Midnight (Earth-616),No Dual Identity,Bad Characters,White Eyes,Blue Hair,Female Characters,Living Characters
2400,Joseph Goebbels (Earth-616),,,,Black Hair,Male Characters,Deceased Characters
2401,Wyatt Earp (Earth-616),No Dual Identity,Good Characters,,Black Hair,Male Characters,Deceased Characters
2402,Gorgilla (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2403,Nikita Khrushchev (Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,Deceased Characters
2404,Jonathan Juniper (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
2405,Kurt Marko (Earth-616),Public Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,Deceased Characters
2406,Sam (NYPD) (Earth-616),,,,,Male Characters,Living Characters
2407,Jack Winters (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2408,Rance Preston (Earth-616),Secret Identity,Bad Characters,,,Male Characters,Deceased Characters
2409,Zom (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Brown Hair,Male Characters,Living Characters
2410,Ikthon (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2411,Lawrence Trask (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2412,Mordecai Boggs (Earth-616),No Dual Identity,Neutral Characters,,Bald,Male Characters,Living Characters
2413,Cephalus (Earth-616),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,Living Characters
2414,Daniel Radford (Earth-616),Secret Identity,,,,Male Characters,Living Characters
2415,Doomsday Man (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Living Characters
2416,Meredith McCall (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters
2417,Psyklop (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters
2418,Thoth-Amon (Earth-616),Public Identity,Bad Characters,,,Male Characters,Living Characters
2419,Albert Rackham (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters
2420,Andrew Kale (Earth-616),,Good Characters,,Brown Hair,Male Characters,Deceased Characters
2421,Chi Lo (Earth-616),,,,Black Hair,Female Characters,Living Characters
2422,David Carter (Earth-616),,,,,Male Characters,Living Characters
2423,Ellie Roberts (Earth-616),,,,,Female Characters,Living Characters
2424,Joanne Tumolo (Earth-616),Secret Identity,Good Characters,,Grey Hair,Female Characters,Living Characters
2425,Mercurio (Earth-616),Public Identity,Bad Characters,White Eyes,No Hair,Male Characters,Living Characters
2426,Necrodamus (Earth-616),,,Black Eyes,Bald,Male Characters,Living Characters
2427,Harlan Krueger (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters
2428,Imus Champion (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
2429,Kristine Saunders (Earth-616),,Good Characters,,Blond Hair,Female Characters,Living Characters
2430,Marie Laveau (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
2431,Sam Silvercloud (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2432,Hydron (Elementals) (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,Living Characters
2433,Magnum (Elementals) (Earth-616),No Dual Identity,,,Black Hair,Male Characters,Living Characters
2434,Arnold Astrovik (Earth-616),No Dual Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters
2435,James Petrie (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,Living Characters
2436,Christopher Thorn (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters
2437,Michael Burley (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2438,Paul Same (Earth-616),,Good Characters,,Brown Hair,Male Characters,Living Characters
2439,Andreas Zorba (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,Deceased Characters
2440,Blaze Kendall (Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,Living Characters
2441,Bram Velsing (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
2442,Daniel Jones (Torpedo) (Earth-616),,Good Characters,,Blond Hair,Male Characters,Living Characters
2443,Eugene Stivak (Earth-616),,Bad Characters,,Bald,Male Characters,Living Characters
2444,Magique (Earth-616),Secret Identity,Neutral Characters,Purple Eyes,White Hair,Female Characters,Deceased Characters
2445,Nicholas Scratch (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
2446,Ted Locke (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,Living Characters
2447,Tracy Burke (Earth-616),Public Identity,Neutral Characters,Hazel Eyes,Grey Hair,Female Characters,Living Characters
2448,Winda Wester (Earth-616),,Good Characters,,Brown Hair,Female Characters,Living Characters
2449,Harris Moore (Earth-616),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters
2450,Holly Gillis (Earth-616),,Good Characters,,,Female Characters,Living Characters
2451,Miles Warren (Clone) (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters
2452,Achille DiBacco (Earth-616),Secret Identity,Bad Characters,,,Male Characters,Deceased Characters
2453,Frederick Sloan (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
2454,Niamh Chinn Oir (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2455,Fahnbullah Eddy (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
2456,Theresa Pryde (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2457,Gabriel Lan (Earth-616),Secret Identity,,Black Eyes,Black Hair,Male Characters,Deceased Characters
2458,Kenneth Crichton (Earth-616),Secret Identity,,Yellow Eyes,Brown Hair,Male Characters,Deceased Characters
2459,Landra (Earth-616),Public Identity,Good Characters,,,Female Characters,Living Characters
2460,Nedda (Earth-616),Public Identity,,,White Hair,Female Characters,Living Characters
2461,Roger Hochberg (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2462,Sarah Rogers (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
2463,Scarlet Fasinera (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,Living Characters
2464,Kenneth Barnett (Earth-616),,Good Characters,,,Male Characters,Living Characters
2465,Oliver Osnick (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
2466,Alec Thorne (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
2467,Donald Menken (Earth-616),No Dual Identity,Neutral Characters,,Blond Hair,Male Characters,Living Characters
2468,Wraarl (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters
2469,Vidar Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
2470,Fern (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters
2471,Lump (Warpies) (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,Living Characters
2472,Michael (RCX agent) (Earth-616),Secret Identity,Good Characters,,Blond Hair,Male Characters,Living Characters
2473,Solitaire (Microverse) (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters
2474,Hector Lennox (Earth-616),Secret Identity,,Blue Eyes,Black Hair,Male Characters,Living Characters
2475,Max (Fortisquian) (Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,Living Characters
2476,Evan Swann (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2477,Gosamyr (Earth-616),Secret Identity,,Black Eyes,Blond Hair,Female Characters,Living Characters
2478,Michael Janes (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Living Characters
2479,Gilbert Vaughn (Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,Deceased Characters
2480,Kwan Zhao (Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,Deceased Characters
2481,Number Nine (Earth-616),,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2482,Prince Baran (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,Living Characters
2483,Ed Marrero (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,Living Characters
2484,John Kelly (Earth-616),Secret Identity,Good Characters,Red Eyes,Blond Hair,Male Characters,Deceased Characters
2485,Kearson DeWitt (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
2486,Nobilus (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
2487,Barrage (Earth-616),,Bad Characters,,Purple Hair,Male Characters,Deceased Characters
2488,Tusk (Earth-616),Secret Identity,Bad Characters,,,Male Characters,Living Characters
2489,Che (Earth-616),Secret Identity,Good Characters,White Eyes,White Hair,Male Characters,Living Characters
2490,Eileen Harsaw (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
2491,James Lucas (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
2492,Lorna Kleinfeldt (Earth-616),Public Identity,Good Characters,,Grey Hair,Female Characters,Living Characters
2493,Lucia Callasantos (Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters
2494,Nakota (Earth-616),,Bad Characters,Green Eyes,Black Hair,,Living Characters
2495,Taylor Blackwell (Earth-616),,Bad Characters,,Brown Hair,Male Characters,Deceased Characters
2496,Agony (Symbiote) (Earth-616),,Neutral Characters,White Eyes,Bald,Agender Characters,Living Characters
2497,Lasher (Symbiote) (Earth-616),Secret Identity,Neutral Characters,White Eyes,Bald,Agender Characters,Living Characters
2498,Lynx (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
2499,Phage (Symbiote) (Earth-616),,Neutral Characters,White Eyes,Bald,Agender Characters,Living Characters
2500,Riot (Symbiote) (Earth-616),,Neutral Characters,White Eyes,Bald,Agender Characters,Living Characters
2501,Sister Nil (Earth-616),,Bad Characters,Black Eyes,Black Hair,Female Characters,Living Characters
2502,Tyrant (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Deceased Characters
2503,Cody Fleischer (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
2504,Philip Sheldon (Earth-616),,Good Characters,Green Eyes,Grey Hair,Male Characters,Deceased Characters
2505,Elizabeth Tyne (Earth-616),,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters
2506,Rafael Carago (Earth-616),Secret Identity,Good Characters,White Eyes,Black Hair,Male Characters,Living Characters
