,Unnamed: 0,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
2749,3041,52047,Verminus Rex (Earth-616),\/Verminus_Rex_(Earth-616),,1,Red Eyes,Brown Hair,Male Characters,,Living Characters,11.0,Oct-97,1997.0
2750,3042,558088,Carthus (Earth-616),\/Carthus_(Earth-616),Public Identity,0,,No Hair,Male Characters,,Living Characters,11.0,Dec-98,1998.0
2751,3043,16037,Jomo Kimanye (Earth-616),\/Jomo_Kimanye_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,11.0,May-99,1999.0
2752,3044,550271,Terry Kwan (Earth-616),\/Terry_Kwan_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Female Characters,,Living Characters,11.0,Jan-99,1999.0
2753,3045,89434,Cosmic Man (Midas) (Earth-616),\/Cosmic_Man_(Midas)_(Earth-616),Secret Identity,1,Blue Eyes,No Hair,Male Characters,,Living Characters,11.0,Aug-00,2000.0
2754,3046,27312,Darren Mitchell (Earth-616),\/Darren_Mitchell_(Earth-616),Secret Identity,0,,,Male Characters,,Living Characters,11.0,Apr-00,2000.0
2755,3047,16611,Valerie Barnhardt (Earth-616),\/Valerie_Barnhardt_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,11.0,Mar-01,2001.0
2756,3048,418436,Sara Robbins (Earth-616),\/Sara_Robbins_(Earth-616),Public Identity,0,Black Eyes,Black Hair,Female Characters,,Living Characters,11.0,Jul-02,2002.0
2757,3049,274785,Axel Bohusk (Earth-616),\/Axel_Bohusk_(Earth-616),,0,,,Male Characters,,Living Characters,11.0,Jul-03,2003.0
2758,3050,289412,Beemer (Earth-616),\/Beemer_(Earth-616),,1,,Bald,Male Characters,,Living Characters,11.0,Jun-03,2003.0
2759,3051,10191,Elias Bogan (Earth-616),\/Elias_Bogan_(Earth-616),Secret Identity,1,,,Male Characters,,Living Characters,11.0,Apr-03,2003.0
2760,3052,121261,Hazel Frost (Earth-616),\/Hazel_Frost_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,11.0,Jun-03,2003.0
2761,3053,274784,Kara Bohusk (Earth-616),\/Kara_Bohusk_(Earth-616),,0,,,Female Characters,,Living Characters,11.0,Jul-03,2003.0
2762,3054,103151,Korra (Earth-616),\/Korra_(Earth-616),Public Identity,0,,Black Hair,Female Characters,,Deceased Characters,11.0,Jun-03,2003.0
2763,3055,681952,Sandra Pierce (Earth-616),\/Sandra_Pierce_(Earth-616),,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,11.0,Jun-03,2003.0
2764,3056,18415,Stewart Acheron (Earth-616),\/Stewart_Acheron_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11.0,Dec-03,2003.0
2765,3058,20275,Armena Ortega (Earth-616),\/Armena_Ortega_(Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Female Characters,,Living Characters,11.0,Aug-04,2004.0
2766,3059,117694,Esteban Ortega (Earth-616),\/Esteban_Ortega_(Earth-616),Public Identity,0,,,Male Characters,,Living Characters,11.0,Aug-04,2004.0
2767,3060,41352,Gina Mulligan (Earth-616),\/Gina_Mulligan_(Earth-616),,0,Brown Eyes,Brown Hair,Female Characters,,Living Characters,11.0,Sep-04,2004.0
2768,3061,129237,Autonomously Decisive Automated Mechanism (Earth-616),\/Autonomously_Decisive_Automated_Mechanism_(Earth-616),Secret Identity,0,Blue Eyes,Red Hair,Male Characters,,Living Characters,11.0,Jul-05,2005.0
2769,3062,23585,Flaw (Earth-616),\/Flaw_(Earth-616),Secret Identity,1,Green Eyes,No Hair,Male Characters,,Living Characters,11.0,Mar-06,2006.0
2770,3063,128803,Joey Eliot (Earth-616),\/Joey_Eliot_(Earth-616),Public Identity,0,,Brown Hair,Male Characters,,Living Characters,11.0,Nov-06,2006.0
2771,3064,657225,Lily Lucca (Earth-616),\/Lily_Lucca_(Earth-616),Public Identity,0,,Brown Hair,Female Characters,,Living Characters,11.0,Nov-06,2006.0
2772,3065,34222,Navid Hashim (Earth-616),\/Navid_Hashim_(Earth-616),,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,11.0,Nov-06,2006.0
2773,3066,23589,Offset (Earth-616),\/Offset_(Earth-616),Secret Identity,1,,,Female Characters,,Living Characters,11.0,Feb-06,2006.0
2774,3068,101635,Harry Givens (Earth-616),\/Harry_Givens_(Earth-616),Public Identity,0,,Black Hair,Male Characters,,Living Characters,11.0,Aug-07,2007.0
2775,3069,453610,Kruun (Earth-616),\/Kruun_(Earth-616),,1,Red Eyes,Bald,Male Characters,,Living Characters,11.0,Feb-07,2007.0
2776,3070,35905,Sid Ridley (Earth-616),\/Sid_Ridley_(Earth-616),Secret Identity,0,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,11.0,Jan-07,2007.0
2777,3071,437789,Deborah Green (Earth-616),\/Deborah_Green_(Earth-616),,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,11.0,Apr-08,2008.0
2778,3072,110656,Randall Crowne (Earth-616),\/Randall_Crowne_(Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,,Living Characters,11.0,Apr-08,2008.0
2779,3073,338040,Hive (Earth-616),\/Hive_(Earth-616),Secret Identity,1,White Eyes,,Male Characters,,Living Characters,11.0,May-09,2009.0
2780,3074,240076,Zadkiel (Earth-616),\/Zadkiel_(Earth-616),No Dual Identity,1,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11.0,Feb-09,2009.0
2781,3075,395830,Abira (Earth-616),\/Abira_(Earth-616),Public Identity,0,Red Eyes,Red Hair,Female Characters,,Living Characters,11.0,Oct-10,2010.0
2782,3076,473718,Aladi Ko Eke (Earth-616),\/Aladi_Ko_Eke_(Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Female Characters,,Living Characters,11.0,May-10,2010.0
2783,3077,473720,Avoe (Earth-616),\/Avoe_(Earth-616),Secret Identity,0,,No Hair,Female Characters,,Living Characters,11.0,May-10,2010.0
2784,3078,339756,Michel de Nostredame (Earth-616),\/Michel_de_Nostredame_(Earth-616),Public Identity,0,Blue Eyes,Grey Hair,Male Characters,,Living Characters,11.0,Aug-10,2010.0
2785,3079,352982,Phillip Hayes (Earth-616),\/Phillip_Hayes_(Earth-616),Public Identity,1,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,11.0,Jan-10,2010.0
2786,3080,499534,Aaron MacKenzie (Earth-616),\/Aaron_MacKenzie_(Earth-616),No Dual Identity,0,,Blond Hair,Male Characters,,Living Characters,11.0,Apr-11,2011.0
2787,3081,478008,Black Knight (Young Masters) (Earth-616),\/Black_Knight_(Young_Masters)_(Earth-616),Secret Identity,1,,Black Hair,Female Characters,,Living Characters,11.0,Sep-11,2011.0
2788,3082,489813,Dagan Shah (Earth-616),\/Dagan_Shah_(Earth-616),Secret Identity,1,,Black Hair,Male Characters,,Living Characters,11.0,Dec-11,2011.0
2789,3083,510428,Father (Earth-616),\/Father_(Earth-616),,1,,Bald,Male Characters,,Deceased Characters,11.0,May-11,2011.0
2790,3084,499530,Katherine Glover (Earth-616),\/Katherine_Glover_(Earth-616),,0,,Brown Hair,Female Characters,,Living Characters,11.0,Apr-11,2011.0
2791,3085,489981,Nighteyes (Earth-616),\/Nighteyes_(Earth-616),Secret Identity,0,Red Eyes,Brown Hair,Female Characters,,Living Characters,11.0,Nov-11,2011.0
2792,3086,490088,Quickshot (Earth-616),\/Quickshot_(Earth-616),Secret Identity,0,Red Eyes,Brown Hair,Male Characters,,Living Characters,11.0,Nov-11,2011.0
2793,3087,481421,Tier Sinclair (Earth-616),\/Tier_Sinclair_(Earth-616),Secret Identity,0,Red Eyes,Brown Hair,Male Characters,,Deceased Characters,11.0,Oct-11,2011.0
2794,3088,490333,Visigoth (Earth-616),\/Visigoth_(Earth-616),Secret Identity,0,Red Eyes,Brown Hair,Male Characters,,Living Characters,11.0,Nov-11,2011.0
2795,3089,532561,Kashmir Vennema (Earth-616),\/Kashmir_Vennema_(Earth-616),,1,,Black Hair,Female Characters,,Living Characters,11.0,Jun-12,2012.0
2796,3090,502003,Thori (Earth-616),\/Thori_(Earth-616),Secret Identity,1,Red Eyes,Grey Hair,Male Characters,,Living Characters,11.0,Feb-12,2012.0
2797,3091,642189,Andrea Benton (Earth-616),\/Andrea_Benton_(Earth-616),Public Identity,0,Purple Eyes,Purple Hair,Female Characters,,Living Characters,11.0,Apr-13,2013.0
2798,3092,578698,Charlie Cluster-7 (Cluster) (Earth-616),\/Charlie_Cluster-7_(Cluster)_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Bisexual Characters,Living Characters,11.0,Feb-13,2013.0
2799,3093,632289,Kaelynn Alexander (Earth-616),\/Kaelynn_Alexander_(Earth-616),,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,11.0,Apr-13,2013.0
2807,3102,477516,Hirohito (Earth-616),\/Hirohito_(Earth-616),Public Identity,1,,Black Hair,Male Characters,,Living Characters,10.0,Jun-42,1942.0
2808,3103,76274,Marla Drake (Earth-616),\/Marla_Drake_(Earth-616),Secret Identity,0,,,Female Characters,,Living Characters,10.0,Dec-42,1942.0
2809,3104,486516,Tommy Tyme (Earth-616),\/Tommy_Tyme_(Earth-616),Public Identity,0,,Orange Hair,Male Characters,,Living Characters,10.0,Apr-43,1943.0
2810,3105,11406,Victoria Murdock (Earth-616),\/Victoria_Murdock_(Earth-616),Secret Identity,1,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,10.0,Jun-47,1947.0
2811,3106,43246,Arizona Annie (Earth-616),\/Arizona_Annie_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,10.0,Mar-48,1948.0
2812,3107,668767,Soapy (Earth-616),\/Soapy_(Earth-616),Public Identity,0,,Grey Hair,Male Characters,,Living Characters,10.0,Nov-55,1955.0
2813,3108,16124,Googam (Earth-616),\/Googam_(Earth-616),Secret Identity,1,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,May-61,1961.0
2814,3109,17515,Goom (Earth-616),\/Goom_(Earth-616),Secret Identity,1,,,Male Characters,,Living Characters,10.0,Mar-61,1961.0
2815,3110,21172,Grogg (Earth-616),\/Grogg_(Earth-616),Secret Identity,0,,No Hair,Male Characters,,Living Characters,10.0,Apr-61,1961.0
2816,3111,12197,Carl Zante (Earth-616),\/Carl_Zante_(Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,,Living Characters,10.0,Mar-63,1963.0
2817,3112,2509,Scarlet Beetle (Earth-616),\/Scarlet_Beetle_(Earth-616),Public Identity,1,Black Eyes,No Hair,Male Characters,,Living Characters,10.0,Jan-63,1963.0
2818,3113,236126,Ve Borson (Earth-616),\/Ve_Borson_(Earth-616),,0,,,Male Characters,,Deceased Characters,10.0,Oct-63,1963.0
2819,3114,236124,Vili Borson (Earth-616),\/Vili_Borson_(Earth-616),,0,,,Male Characters,,Deceased Characters,10.0,Oct-63,1963.0
2820,3115,9122,Boris Turgenov (Earth-616),\/Boris_Turgenov_(Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,10.0,Apr-64,1964.0
2821,3116,307063,Franz Gruber (Earth-616),\/Franz_Gruber_(Earth-616),Secret Identity,1,,Bald,Male Characters,,Living Characters,10.0,Jul-64,1964.0
2822,3118,2167,Zoltan Drago (Earth-616),\/Zoltan_Drago_(Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Feb-65,1965.0
2823,3119,2041,August Hopper (Earth-616),\/August_Hopper_(Earth-616),Public Identity,1,Green Eyes,Grey Hair,Male Characters,,Living Characters,10.0,Sep-66,1966.0
2824,3120,15326,John Robert Keane (Earth-616),\/John_Robert_Keane_(Earth-616),Secret Identity,1,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Nov-66,1966.0
2825,3121,237039,Porga (Earth-616),\/Porga_(Earth-616),Secret Identity,0,,No Hair,Male Characters,,Deceased Characters,10.0,Sep-66,1966.0
2826,3122,298042,Flint (Goon) (Earth-616),\/Flint_(Goon)_(Earth-616),,1,,,Male Characters,,Living Characters,10.0,Jul-67,1967.0
2827,3123,15286,Gary Buser (Earth-616),\/Gary_Buser_(Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Nov-67,1967.0
2828,3126,9041,Lurking Unknown (Earth-616),\/Lurking_Unknown_(Earth-616),Secret Identity,1,Black Eyes,Bald,Male Characters,,Living Characters,10.0,Jan-67,1967.0
2829,3127,299035,Lyndon Johnson (Earth-616),\/Lyndon_Johnson_(Earth-616),Public Identity,0,,Brown Hair,Male Characters,,Living Characters,10.0,Feb-67,1967.0
2830,3128,1112,Charles Benton (Earth-616),\/Charles_Benton_(Earth-616),Secret Identity,1,,Grey Hair,Male Characters,,Deceased Characters,10.0,Jun-68,1968.0
2831,3129,17415,Randau (Earth-616),\/Randau_(Earth-616),,1,,No Hair,Male Characters,,Living Characters,10.0,May-68,1968.0
2832,3132,14905,Karthon (Earth-616),\/Karthon_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Feb-69,1969.0
2833,3133,14096,Dark-Crawler (Earth-616),\/Dark-Crawler_(Earth-616),Secret Identity,1,Red Eyes,,Male Characters,,Living Characters,10.0,Apr-70,1970.0
2834,3134,318066,Nameless One (Undying Ones Leader) (Earth-616),\/Nameless_One_(Undying_Ones_Leader)_(Earth-616),Secret Identity,1,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,Feb-70,1970.0
2835,3135,2469,William Carver (Earth-616),\/William_Carver_(Earth-616),Secret Identity,0,Brown Eyes,White Hair,Male Characters,,Deceased Characters,10.0,Oct-70,1970.0
2836,3139,54858,Clifton Graves (Earth-616),\/Clifton_Graves_(Earth-616),No Dual Identity,1,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Apr-72,1972.0
2837,3140,560174,Donald Sample (Earth-616),\/Donald_Sample_(Earth-616),Public Identity,0,,Brown Hair,Male Characters,,Deceased Characters,10.0,May-72,1972.0
2838,3141,242649,Kid Cassidy (Earth-616),\/Kid_Cassidy_(Earth-616),Secret Identity,1,,Blond Hair,Male Characters,,Deceased Characters,10.0,Oct-72,1972.0
2839,3142,560169,Michael Kelly (Earth-616),\/Michael_Kelly_(Earth-616),Public Identity,0,,Brown Hair,Male Characters,,Living Characters,10.0,Jun-72,1972.0
2840,3144,39503,Shades (Earth-616),\/Shades_(Earth-616),Secret Identity,0,Brown Eyes,Bald,Male Characters,,Deceased Characters,10.0,Jun-72,1972.0
2841,3145,386951,Amon (Horse) (Earth-616),\/Amon_(Horse)_(Earth-616),,0,,,,,Living Characters,10.0,Oct-73,1973.0
2842,3146,439478,Bertha (Earth-616),\/Bertha_(Earth-616),No Dual Identity,0,,,Female Characters,,Living Characters,10.0,Jun-73,1973.0
2843,3148,15338,Horatio Walters (Earth-616),\/Horatio_Walters_(Earth-616),Public Identity,1,Blue Eyes,Blond Hair,Male Characters,,Living Characters,10.0,Sep-73,1973.0
2844,3149,126090,Joshua Kale (Earth-616),\/Joshua_Kale_(Earth-616),Public Identity,0,,Black Hair,Male Characters,,Living Characters,10.0,Jun-73,1973.0
2845,3150,2713,Moondark (Earth-616),\/Moondark_(Earth-616),Secret Identity,1,Blue Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-73,1973.0
2846,3152,1099,Grover Raymond (Earth-616),\/Grover_Raymond_(Earth-616),Secret Identity,1,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Feb-74,1974.0
2847,3154,2739,Piranha (Earth-616),\/Piranha_(Earth-616),Secret Identity,1,Yellow Eyes,No Hair,Female Characters,,Deceased Characters,10.0,May-74,1974.0
2848,3155,57234,Slifer (Earth-616),\/Slifer_(Earth-616),Secret Identity,1,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,Feb-74,1974.0
2849,3156,1443,Tim Stuart (Earth-616),\/Tim_Stuart_(Earth-616),,1,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-74,1974.0
2850,3158,506893,Ann Reynolds (Earth-616),\/Ann_Reynolds_(Earth-616),No Dual Identity,0,,Blond Hair,Female Characters,,Living Characters,10.0,Aug-75,1975.0
2851,3159,1870,Isis (Deity) (Earth-616),\/Isis_(Deity)_(Earth-616),Secret Identity,0,,,Female Characters,,Living Characters,10.0,Sep-75,1975.0
2852,3160,18777,Jeff Turner (Earth-616),\/Jeff_Turner_(Earth-616),No Dual Identity,0,,,Male Characters,,Living Characters,10.0,Aug-75,1975.0
2853,3161,1925,Kierrok (Earth-616),\/Kierrok_(Earth-616),Secret Identity,1,Yellow Eyes,,Male Characters,,Living Characters,10.0,Dec-75,1975.0
2854,3162,506897,Raymond Corey (Earth-616),\/Raymond_Corey_(Earth-616),No Dual Identity,0,,Black Hair,Male Characters,,Living Characters,10.0,Aug-75,1975.0
2855,3163,302028,Anton Lupeski (Earth-616),\/Anton_Lupeski_(Earth-616),No Dual Identity,1,,,Male Characters,,Deceased Characters,10.0,Jun-76,1976.0
2856,3164,197538,Barry Bauman (Earth-616),\/Barry_Bauman_(Earth-616),,1,,Brown Hair,Male Characters,,Living Characters,10.0,Jun-76,1976.0
2857,3165,534267,Harry Key (Earth-616),\/Harry_Key_(Earth-616),Public Identity,1,,Red Hair,Male Characters,,Living Characters,10.0,Jul-76,1976.0
2858,3166,14069,Rhomann Dey (Earth-616),\/Rhomann_Dey_(Earth-616),,0,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Sep-76,1976.0
2859,3167,1373,Yuri Petrovitch (Earth-616),\/Yuri_Petrovitch_(Earth-616),Secret Identity,1,Blue Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-76,1976.0
2860,3168,1694,Gazelle (Scratch) (Earth-616),\/Gazelle_(Scratch)_(Earth-616),Secret Identity,0,,,Female Characters,,Deceased Characters,10.0,Aug-77,1977.0
2861,3169,657857,Harmony Whyte (Earth-616),\/Harmony_Whyte_(Earth-616),Public Identity,0,,Blond Hair,Female Characters,,Living Characters,10.0,Sep-77,1977.0
2862,3170,70948,James Carter (Earth-616),\/James_Carter_(Earth-616),No Dual Identity,0,,,Male Characters,,Living Characters,10.0,Jan-77,1977.0
2863,3171,246422,Kerwin Korman (Earth-616),\/Kerwin_Korman_(Earth-616),,1,Yellow Eyes,Black Hair,Male Characters,,Living Characters,10.0,Jan-77,1977.0
2864,3172,2432,Taurus (LMD) (Earth-616),\/Taurus_(LMD)_(Earth-616),Secret Identity,1,,Blond Hair,Female Characters,,Living Characters,10.0,Jul-77,1977.0
2865,3173,41894,Nereel (Earth-616),\/Nereel_(Earth-616),Secret Identity,0,,Black Hair,Female Characters,,Living Characters,10.0,Oct-78,1978.0
2866,3174,18852,April Maye (Earth-616),\/April_Maye_(Earth-616),No Dual Identity,0,,Blond Hair,Female Characters,,Living Characters,10.0,Jul-79,1979.0
2867,3176,55867,Chip Martin (Earth-616),\/Chip_Martin_(Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,,Living Characters,10.0,Nov-79,1979.0
2868,3179,18849,Walter Hardy (Earth-616),\/Walter_Hardy_(Earth-616),,0,,Bald,Male Characters,,Deceased Characters,10.0,Jul-79,1979.0
2869,3181,47467,Yu-Huang (Earth-616),\/Yu-Huang_(Earth-616),,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Oct-80,1980.0
2870,3182,15407,Ahpuch (Earth-616),\/Ahpuch_(Earth-616),,1,,No Hair,Male Characters,,Living Characters,10.0,Oct-82,1982.0
2871,3183,41592,Indries Moomji (Earth-616),\/Indries_Moomji_(Earth-616),Secret Identity,1,Black Eyes,Black Hair,Female Characters,,Living Characters,10.0,Oct-82,1982.0
2872,3184,4252,Edward Cobert (Earth-616),\/Edward_Cobert_(Earth-616),Public Identity,1,Blue Eyes,Bald,Male Characters,,Living Characters,10.0,Dec-83,1983.0
2873,3185,42807,Ian McNee (Earth-616),\/Ian_McNee_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,10.0,Jan-83,1983.0
2874,3186,73954,Ika (Earth-616),\/Ika_(Earth-616),,0,,,Female Characters,,Living Characters,10.0,Jul-83,1983.0
2875,3187,653735,Kalibar (Earth-616),\/Kalibar_(Earth-616),,0,,,Male Characters,,Living Characters,10.0,May-83,1983.0
2876,3188,653716,Lavour (Earth-616),\/Lavour_(Earth-616),Public Identity,1,,,Female Characters,,Living Characters,10.0,May-83,1983.0
2877,3189,2741,Michael Silk (Earth-616),\/Michael_Silk_(Earth-616),Public Identity,0,Pink Eyes,White Hair,Male Characters,,Living Characters,10.0,Apr-83,1983.0
2878,3190,653708,Moltar (Earth-616),\/Moltar_(Earth-616),Public Identity,0,,,Male Characters,,Living Characters,10.0,May-83,1983.0
2879,3191,653718,Ogeode (Earth-616),\/Ogeode_(Earth-616),Public Identity,0,,,Male Characters,,Living Characters,10.0,May-83,1983.0
2880,3192,458321,Vola (Earth-616),\/Vola_(Earth-616),Public Identity,0,,,Female Characters,,Deceased Characters,10.0,Oct-83,1983.0
2881,3193,484723,Warbow (Crystalium) (Earth-616),\/Warbow_(Crystalium)_(Earth-616),,0,,No Hair,Male Characters,,Living Characters,10.0,May-83,1983.0
2882,3195,32550,Frank Rambeau (Earth-616),\/Frank_Rambeau_(Earth-616),Public Identity,0,,White Hair,Male Characters,,Living Characters,10.0,Aug-84,1984.0
2883,3196,4050,MX39147 (Earth-616),\/MX39147_(Earth-616),Secret Identity,1,,,Female Characters,,Deceased Characters,10.0,Feb-84,1984.0
2884,3197,2208,Naze (Earth-616),\/Naze_(Earth-616),,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-84,1984.0
2885,3198,18223,Raunch (Earth-616),\/Raunch_(Earth-616),Secret Identity,1,,Red Hair,Female Characters,,Living Characters,10.0,Jun-84,1984.0
2886,3199,247695,Silverhoof (Earth-616),\/Silverhoof_(Earth-616),,0,,,Male Characters,,Living Characters,10.0,Jun-84,1984.0
2887,3200,309331,Slash (Earth-616),\/Slash_(Earth-616),Secret Identity,1,,Red Hair,Female Characters,,Living Characters,10.0,Jun-84,1984.0
2888,3201,16844,Alice Nugent (Earth-616),\/Alice_Nugent_(Earth-616),Public Identity,1,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,May-85,1985.0
2889,3203,557079,Ethan Thurm (Earth-616),\/Ethan_Thurm_(Earth-616),Public Identity,1,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-85,1985.0
2890,3204,249827,Flosi (Earth-616),\/Flosi_(Earth-616),,0,,Black Hair,Female Characters,,Living Characters,10.0,Nov-85,1985.0
2891,3205,78093,Hydra (Olympian Beast) (Earth-616),\/Hydra_(Olympian_Beast)_(Earth-616),Secret Identity,1,,,Female Characters,,Living Characters,10.0,Jun-85,1985.0
2892,3207,249825,Rolfe (Asgardian) (Earth-616),\/Rolfe_(Asgardian)_(Earth-616),,0,,Black Hair,Male Characters,,Living Characters,10.0,Nov-85,1985.0
2893,3209,34169,Armand Martel (Earth-616),\/Armand_Martel_(Earth-616),No Dual Identity,0,,Bald,Male Characters,,Living Characters,10.0,Mar-86,1986.0
2894,3210,127885,Elizabeth Guthrie (Earth-616),\/Elizabeth_Guthrie_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Aug-86,1986.0
2895,3212,73819,Kendra Louise Price (Earth-616),\/Kendra_Louise_Price_(Earth-616),Secret Identity,0,,Red Hair,Female Characters,,Deceased Characters,10.0,Mar-86,1986.0
2896,3214,18258,Nicholas Grossman (Earth-616),\/Nicholas_Grossman_(Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Male Characters,,Living Characters,10.0,May-86,1986.0
2897,3216,62591,Brainstorm (Jimmy) (Earth-616),\/Brainstorm_(Jimmy)_(Earth-616),Secret Identity,1,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-87,1987.0
2898,3217,407138,Darby Dean (Earth-616),\/Darby_Dean_(Earth-616),Public Identity,0,,Black Hair,Male Characters,,Living Characters,10.0,Jan-88,1988.0
2899,3218,1750,Grog (Earth-616),\/Grog_(Earth-616),Public Identity,1,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Apr-88,1988.0
2900,3219,297201,Michael Berengetti (Earth-616),\/Michael_Berengetti_(Earth-616),Public Identity,0,,,Male Characters,,Living Characters,10.0,Sep-88,1988.0
2901,3220,2000,Pamela Shaw (Earth-616),\/Pamela_Shaw_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Female Characters,,Living Characters,10.0,Sep-88,1988.0
2902,3221,2311,Punchout (Earth-616),\/Punchout_(Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Female Characters,,Living Characters,10.0,Oct-88,1988.0
2903,3222,397858,Scab (Tim) (Earth-616),\/Scab_(Tim)_(Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,10.0,Nov-88,1988.0
2904,3223,407139,Susan Dean (Earth-616),\/Susan_Dean_(Earth-616),No Dual Identity,0,,Black Hair,Female Characters,,Living Characters,10.0,Jan-88,1988.0
2905,3224,397880,Toko (Earth-616),\/Toko_(Earth-616),Secret Identity,1,Grey Eyes,Black Hair,Female Characters,,Living Characters,10.0,Dec-88,1988.0
2906,3225,406376,Trista (Earth-616),\/Trista_(Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Dec-88,1988.0
2907,3226,182110,William Conover (Earth-616),\/William_Conover_(Earth-616),Public Identity,0,,Brown Hair,Male Characters,,Living Characters,10.0,Sep-88,1988.0
2908,3227,2001,Wipeout (Earth-616),\/Wipeout_(Earth-616),Secret Identity,1,Blue Eyes,White Hair,Male Characters,,Deceased Characters,10.0,Oct-88,1988.0
2909,3229,44277,Mako (Project Ultra-Tech) (Earth-616),\/Mako_(Project_Ultra-Tech)_(Earth-616),Secret Identity,1,,Black Hair,Male Characters,,Living Characters,10.0,Aug-89,1989.0
2910,3230,2163,Mitchell Godey (Earth-616),\/Mitchell_Godey_(Earth-616),Secret Identity,1,,Bald,Male Characters,,Deceased Characters,10.0,Jan-89,1989.0
2911,3231,314770,Muzzafar Lambert (Earth-616),\/Muzzafar_Lambert_(Earth-616),,1,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Aug-89,1989.0
2912,3232,69223,Tai (Madripoor) (Earth-616),\/Tai_(Madripoor)_(Earth-616),,1,,Black Hair,Male Characters,,Deceased Characters,10.0,Jan-89,1989.0
2913,3233,12887,Illarion Pavlovich Ramskov (Earth-616),\/Illarion_Pavlovich_Ramskov_(Earth-616),Secret Identity,0,,,Male Characters,,Deceased Characters,10.0,Nov-90,1990.0
2914,3234,256708,Juvan (Earth-616),\/Juvan_(Earth-616),Secret Identity,1,,Brown Hair,Male Characters,,Living Characters,10.0,Sep-90,1990.0
2915,3235,17280,Leeann Foreman (Earth-616),\/Leeann_Foreman_(Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,May-90,1990.0
2916,3236,30318,Lynn Church (Earth-616),\/Lynn_Church_(Earth-616),Secret Identity,1,,Black Hair,Female Characters,,Deceased Characters,10.0,Dec-90,1990.0
2917,3237,3941,Sean Watanabe (Earth-616),\/Sean_Watanabe_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Dec-90,1990.0
